Job Title,Job Title Group
Procurement Advisor,Procurement
Procurement Assistant,Procurement
Procurement Officer,Procurement
Production Advisor,Administrative
Production Assistant,Administrative
Production Officer,Administrative
Programme Advisor,Programme management
Programme Assistant,Programme management
Programme Officer,Programme management
Programme Analyst,Programme management
Programme Clerk,Programme management
Programme Finance Advisor,Programme management
Programme Finance Assistant,Programme management
Programme Finance Officer,Programme management
Programme Mgmt Advisor,Programme management
Programme Mgmt Assistant,Programme management
Programme Mgmt Officer,Programme management
Programme Support Assistant,Programme management
Programme Support Associate,Programme management
Project Coord Advisor,Project Management
Project Coord Assistant,Project Management
Project Coord Officer,Project Management
Project Management Advisor,Project Management
Project Management Assistant,Project Management
Project Management Officer,Project Management
Project Manager,Project Management
Protection Assistant,Safety and Security
Protection Officer,Safety and Security
Psychologist,Health
Public Affairs Advisor,Public Information
Public Affairs Assistant,Public Information
Public Affairs Officer,Public Information
Public Information Advisor,Public Information
Public Information Assistant,Public Information
Public Information Officer,Public Information
Purchasing Assistant,Procurement
Quality Control Assistant,Programme management
Quality Control Officer,Programme management
Radio Operator,Logistics
Receptionist,Logistics
Records Assistant,Logistics
Distribution Clerk,Socio-economic
Assistant Regional Coordinator,Programme management
Regional Coordinator,Programme management
Regional Info Advisor,Public Information
Regional Info Assistant,Public Information
Regional Info Officer,Public Information
Regional Thematic Officer,Public Information
Drugs & Crime Prevent. Officer,Socio-economic
Eligibility Assistant,Socio-economic
Eligibility Officer,Socio-economic
Rehabilitation Assistant,Health
Rehabilitation Officer,Health
Reintegration Officer,Others
Handicraft Dvlpmt. Officer,Socio-economic
Rep Health & Fam Plan Advisor,Health
Rep Health Qual of Care Expert,Health
Rep Health Train & Mgmt Expert,Health
Repatriation Assistant,Others
Repatriation Officer,Others
Reports Advisor,M & E
Reports Assistant,M & E
Reports Officer,M & E
Reproductive Health Advisor,Health
Reproductive Health Assistant,Health
Reproductive Health Officer,Health
Research Advisor,Research
Research Assistant,Research
Research Officer,Research
Human Settlement Officer,Socio-economic
Income Generation Advisor,Socio-economic
Resource Mobilizatn Advisor,Administrative
Resource Mobilizatn Assistant,Administrative
Resource Mobilizatn Officer,Administrative
Risk Assessment Assistant,Project Management
Risk Assessment Officer,Project Management
Round Table Officer,Administrative
Poverty Reduction Advisor,Socio-economic
Poverty Reduction Assistant,Socio-economic
Sattellite Technician,Information Technology
Secretary,Administrative
Security Officer,Safety and Security
Sex&Rep Health Advocacy Expert,Health
Sex&Rep Health Promo Expert,Health
Sex&Rep Health QualCare Expert,Health
Poverty Reduction Officer,Socio-economic
Refugee Status Determ. Officer,Socio-economic
Registration Assistant,Socio-economic
Registration Officer,Socio-economic
Registry Assistant,Socio-economic
Relief Coordinator,Socio-economic
Resettlement Assistant,Socio-economic
Resettlement Officer,Socio-economic
Rural Development Assistant,Socio-economic
Rural Development Officer,Socio-economic
Small Business Advisor,Socio-economic
Small Business Assistant,Socio-economic
Sport Assistant,Education
Sport Officer,Education
Statistics Advisor,Research
Statistics Assistant,Research
Statistics Officer,Research
Small Business Officer,Socio-economic
Surveying Assistant,Research
Surveying Officer,Research
SocioCultural & Gender Expert,Socio-economic
Socio-economic Assistant,Socio-economic
Socio-economic Officer,Socio-economic
Systems Development Advisor,Information Technology
Systems Development Assistant,Information Technology
Systems Development Officer,Information Technology
TAX Administration Advisor,Finance/Budget
TAX Administration Officer,Finance/Budget
Team Leader,Project Management
Technical Advisor,Others
Technical Assistant,Others
Technical Officer,Others
Telecommunications Advisor,Public Information
Telecommunications Assistant,Public Information
Telecommunications Officer,Public Information
Assistant To Head Of Office,Administrative
TOKTEN Assistant,Administrative
Tourism Development Assistant,Socio-economic
Tourism Development Officer,Socio-economic
Trade Policy Assistant,Others
Trade Policy Officer,Others
Training Officer,Education
Transport Officer,Logistics
Travel Assistant,Logistics
Sociology Advisor,Socio-economic
Sociology Assistant,Socio-economic
Sociology Officer,Socio-economic
UN Dispensary Physician,Health
UNV Programme Officer,Programme management
UNV Support Unit Officer,Programme management
Stress Management Counselor,Socio-economic
Sustainable Develop Advisor,Socio-economic
Vehicle Mechanic,Logistics
Verification Officer,Others
Veterinarian,Health
Volunteer Mgmt Specialist,Project Management
Sustainable Develop Assistant,Socio-economic
Volunteerism Assistant,Project Management
Volunteerism Officer,Project Management
Voter/Civic Education Officer,Education
Sustainable Develop Officer,Socio-economic
Urban Development Assistant,Socio-economic
Urban Development Officer,Socio-economic
Warehouse Manager,Logistics
Vuln Anl & Mapping Advisor,Socio-economic
Vuln Anl & Mapping Assistant,Socio-economic
Vuln Anl & Mapping Officer,Socio-economic
Webiste Advisor,Information Technology
Website Assistant,Information Technology
Website Officer,Information Technology
Youth Counselor,Socio-economic
